NodeCount,Iteration,ElectionLatency_ms
4,1,116.40
4,2,128.48
4,3,129.45
4,4,141.56
4,5,130.81
4,6,131.06
4,7,128.62
4,8,131.53
4,9,152.41
4,10,118.05
4,11,126.16
4,12,138.36
4,13,130.21
4,14,159.84
4,15,129.33
4,16,120.80
4,17,139.68
4,18,129.78
4,19,129.90
4,20,130.07
4,21,141.62
4,22,149.13
4,23,128.31
4,24,128.92
4,25,127.82
4,26,138.23
4,27,139.93
4,28,152.04
4,29,142.40
4,30,119.06
4,31,130.65
4,32,164.69
4,33,118.54
4,34,117.92
4,35,152.19
4,36,141.20
4,37,131.76
4,38,120.09
4,39,131.29
4,40,161.99
4,41,140.76
4,42,120.27
4,43,130.24
4,44,138.28
4,45,139.58
4,46,128.72
4,47,129.80
4,48,119.83
4,49,108.38
4,50,118.22
4,51,140.61
4,52,111.20
4,53,119.40
4,54,131.91
4,55,140.81
4,56,140.52
4,57,128.63
4,58,119.79
4,59,139.15
4,60,118.51
4,61,118.94
4,62,129.66
4,63,138.87
4,64,139.79
4,65,153.45
4,66,119.73
4,67,129.67
4,68,129.42
4,69,149.92
4,70,160.28
4,71,214.98
4,72,131.03
4,73,128.06
4,74,120.19
4,75,142.35
4,76,130.86
4,77,131.21
4,78,129.83
4,79,138.33
4,80,141.71
4,81,130.70
4,82,131.71
4,83,130.90
4,84,130.67
4,85,131.65
4,86,130.77
4,87,153.81
4,88,130.32
4,89,120.10
4,90,150.50
4,91,128.39
4,92,150.93
4,93,119.24
4,94,141.89
4,95,142.09
4,96,151.66
4,97,151.90
4,98,131.32
4,99,120.33
4,100,120.41
8,1,108.24
8,2,119.15
8,3,142.20
8,4,130.99
8,5,118.59
8,6,116.62
8,7,140.67
8,8,118.91
8,9,140.85
8,10,128.76
8,11,129.72
8,12,129.96
8,13,141.49
8,14,127.07
8,15,137.59
8,16,139.61
8,17,119.12
8,18,119.71
8,19,141.20
8,20,107.11
8,21,108.76
8,22,120.93
8,23,118.57
8,24,130.38
8,25,131.39
8,26,108.30
8,27,141.22
8,28,129.69
8,29,129.75
8,30,128.90
8,31,118.61
8,32,117.17
8,33,107.62
8,34,119.62
8,35,129.66
8,36,119.59
8,37,150.25
8,38,140.34
8,39,141.23
8,40,117.92
8,41,129.23
8,42,109.19
8,43,131.23
8,44,117.82
8,45,131.61
8,46,141.31
8,47,139.96
8,48,129.93
8,49,108.88
8,50,139.24
8,51,139.69
8,52,109.08
8,53,109.01
8,54,120.00
8,55,119.19
8,56,131.18
8,57,109.21
8,58,127.32
8,59,117.87
8,60,131.08
8,61,129.89
8,62,119.00
8,63,140.76
8,64,150.96
8,65,130.16
8,66,127.78
8,67,107.39
8,68,120.01
8,69,139.69
8,70,129.42
8,71,109.22
8,72,140.76
8,73,118.81
8,74,119.50
8,75,130.70
8,76,119.36
8,77,108.26
8,78,118.63
8,79,129.21
8,80,149.81
8,81,120.11
8,82,109.08
8,83,127.26
8,84,115.95
8,85,108.79
8,86,130.32
8,87,118.84
8,88,139.82
8,89,140.34
8,90,119.73
8,91,131.62
8,92,129.75
8,93,130.14
8,94,117.91
8,95,120.22
8,96,128.80
8,97,119.50
8,98,141.46
8,99,128.26
8,100,119.31
12,1,129.25
12,2,140.57
12,3,117.58
12,4,116.43
12,5,107.00
12,6,128.26
12,7,129.32
12,8,140.59
12,9,129.73
12,10,130.06
12,11,108.95
12,12,119.42
12,13,118.23
12,14,119.06
12,15,118.11
12,16,129.04
12,17,117.32
12,18,119.16
12,19,106.36
12,20,128.97
12,21,119.75
12,22,118.03
12,23,118.25
12,24,118.29
12,25,119.09
12,26,118.53
12,27,138.72
12,28,117.10
12,29,117.77
12,30,107.36
12,31,107.07
12,32,108.64
12,33,129.16
12,34,119.03
12,35,107.19
12,36,108.13
12,37,108.04
12,38,119.97
12,39,120.10
12,40,119.92
12,41,119.78
12,42,119.61
12,43,117.82
12,44,128.74
12,45,130.07
12,46,129.57
12,47,107.47
12,48,119.19
12,49,109.23
12,50,166.94
12,51,126.02
12,52,117.41
12,53,107.88
12,54,123.89
12,55,142.18
12,56,119.65
12,57,118.14
12,58,139.85
12,59,129.32
12,60,108.27
12,61,109.04
12,62,137.65
12,63,127.35
12,64,119.30
12,65,118.36
12,66,130.38
12,67,120.50
12,68,108.18
12,69,118.45
12,70,141.14
12,71,138.59
12,72,130.84
12,73,171.86
12,74,125.58
12,75,127.02
12,76,140.17
12,77,117.96
12,78,126.14
12,79,127.76
12,80,116.97
12,81,138.51
12,82,125.13
12,83,126.85
12,84,126.39
12,85,128.05
12,86,107.06
12,87,140.98
12,88,126.44
12,89,136.69
12,90,114.46
12,91,129.25
12,92,127.07
12,93,137.64
12,94,116.00
12,95,128.62
12,96,126.96
12,97,115.11
12,98,116.44
12,99,137.41
12,100,116.14
16,1,115.60
16,2,115.45
16,3,105.73
16,4,115.89
16,5,127.07
16,6,118.97
16,7,128.21
16,8,127.40
16,9,125.12
16,10,125.80
16,11,118.69
16,12,107.21
16,13,124.08
16,14,115.45
16,15,116.47
16,16,114.45
16,17,115.57
16,18,115.68
16,19,123.92
16,20,115.28
16,21,116.61
16,22,106.51
16,23,124.44
16,24,127.56
16,25,117.58
16,26,105.64
16,27,127.84
16,28,137.74
16,29,126.70
16,30,116.46
16,31,137.52
16,32,127.61
16,33,118.16
16,34,116.11
16,35,107.18
16,36,117.79
16,37,116.61
16,38,116.51
16,39,107.10
16,40,116.66
16,41,116.61
16,42,118.53
16,43,125.74
16,44,137.19
16,45,125.81
16,46,104.21
16,47,106.55
16,48,115.90
16,49,137.05
16,50,108.41
16,51,117.63
16,52,125.78
16,53,127.88
16,54,137.47
16,55,106.32
16,56,129.34
16,57,117.73
16,58,108.85
16,59,129.60
16,60,186.53
16,61,132.21
16,62,120.07
16,63,112.82
16,64,198.04
16,65,133.18
16,66,122.07
16,67,117.04
16,68,119.63
16,69,140.81
16,70,118.66
16,71,117.27
16,72,129.06
16,73,129.60
16,74,118.88
16,75,109.03
16,76,129.73
16,77,119.17
16,78,106.50
16,79,119.17
16,80,117.62
16,81,116.84
16,82,117.68
16,83,116.45
16,84,118.13
16,85,116.81
16,86,149.72
16,87,117.25
16,88,119.50
16,89,107.69
16,90,117.91
16,91,119.54
16,92,109.22
16,93,118.16
16,94,118.50
16,95,128.62
16,96,118.09
16,97,130.19
16,98,106.98
16,99,116.99
16,100,129.50
20,1,129.54
20,2,108.29
20,3,118.32
20,4,118.64
20,5,108.02
20,6,129.03
20,7,127.87
20,8,119.45
20,9,128.93
20,10,128.06
20,11,116.51
20,12,140.75
20,13,117.64
20,14,120.42
20,15,116.99
20,16,118.29
20,17,129.24
20,18,108.41
20,19,118.85
20,20,131.26
20,21,128.96
20,22,119.13
20,23,129.87
20,24,119.94
20,25,117.85
20,26,137.19
20,27,127.43
20,28,129.50
20,29,107.43
20,30,119.16
20,31,108.64
20,32,119.27
20,33,130.36
20,34,131.11
20,35,127.63
20,36,116.89
20,37,118.74
20,38,128.91
20,39,119.94
20,40,118.19
20,41,131.29
20,42,129.14
20,43,118.56
20,44,118.51
20,45,137.56
20,46,127.70
20,47,109.38
20,48,139.59
20,49,129.08
20,50,117.43
20,51,107.37
20,52,127.73
20,53,117.10
20,54,120.25
20,55,129.05
20,56,119.48
20,57,126.76
20,58,116.64
20,59,119.22
20,60,129.91
20,61,116.45
20,62,118.86
20,63,107.94
20,64,118.03
20,65,119.23
20,66,107.46
20,67,117.05
20,68,108.05
20,69,108.14
20,70,119.58
20,71,108.92
20,72,119.14
20,73,129.17
20,74,118.24
20,75,116.69
20,76,127.93
20,77,116.94
20,78,130.29
20,79,120.74
20,80,119.72
20,81,117.14
20,82,117.45
20,83,131.37
20,84,118.57
20,85,118.37
20,86,130.33
20,87,116.80
20,88,110.68
20,89,129.39
20,90,120.24
20,91,119.40
20,92,119.11
20,93,131.02
20,94,129.51
20,95,108.51
20,96,107.15
20,97,128.51
20,98,118.92
20,99,119.35
20,100,117.80
24,1,130.38
24,2,127.45
24,3,128.67
24,4,116.70
24,5,119.20
24,6,106.83
24,7,117.95
24,8,118.10
24,9,118.14
24,10,129.94
24,11,128.16
24,12,107.14
24,13,107.28
24,14,119.22
24,15,107.82
24,16,118.23
24,17,116.85
24,18,107.27
24,19,128.38
24,20,108.93
24,21,129.81
24,22,106.26
24,23,116.60
24,24,118.72
24,25,118.87
24,26,171.02
24,27,128.43
24,28,108.18
24,29,119.34
24,30,128.66
24,31,117.94
24,32,108.05
24,33,117.94
24,34,117.64
24,35,128.32
24,36,116.80
24,37,105.24
24,38,119.32
24,39,128.09
24,40,118.64
24,41,129.68
24,42,117.46
24,43,117.12
24,44,119.85
24,45,109.74
24,46,127.66
24,47,117.23
24,48,129.46
24,49,117.95
24,50,118.76
24,51,126.09
24,52,118.57
24,53,119.37
24,54,107.15
24,55,119.91
24,56,118.09
24,57,116.77
24,58,106.54
24,59,119.46
24,60,119.38
24,61,106.79
24,62,116.81
24,63,120.34
24,64,118.62
24,65,127.36
24,66,129.80
24,67,118.29
24,68,119.48
24,69,128.84
24,70,117.60
24,71,129.94
24,72,128.42
24,73,106.09
24,74,119.38
24,75,119.48
24,76,118.92
24,77,105.96
24,78,128.69
24,79,128.22
24,80,106.60
24,81,118.47
24,82,119.08
24,83,109.65
24,84,118.37
24,85,118.84
24,86,108.41
24,87,118.92
24,88,108.36
24,89,128.22
24,90,123.14
24,91,117.84
24,92,128.59
24,93,117.07
24,94,128.02
24,95,109.12
24,96,108.82
24,97,129.39
24,98,116.55
24,99,117.11
24,100,107.23
