NodeCount,Iteration,ElectionLatency_ms
4,1,331.43
4,2,315.05
4,3,310.66
4,4,311.86
4,5,315.90
4,6,325.44
4,7,311.18
4,8,334.24
4,9,312.61
4,10,310.83
4,11,311.43
4,12,321.99
4,13,333.63
4,14,324.46
4,15,319.30
4,16,314.92
4,17,320.23
4,18,326.79
4,19,326.96
4,20,327.64
4,21,350.94
4,22,315.76
4,23,339.31
4,24,320.75
4,25,332.15
4,26,343.20
4,27,351.37
4,28,400.30
4,29,320.83
4,30,320.23
4,31,335.38
4,32,318.28
4,33,318.66
4,34,310.55
4,35,326.94
4,36,320.30
4,37,347.01
4,38,323.29
4,39,332.44
4,40,307.60
4,41,351.03
4,42,328.91
4,43,327.49
4,44,304.88
4,45,322.84
4,46,328.67
4,47,338.80
4,48,316.99
4,49,339.64
4,50,317.01
4,51,328.23
4,52,310.15
4,53,348.92
4,54,321.19
4,55,329.43
4,56,329.79
4,57,331.99
4,58,340.47
4,59,333.70
4,60,319.30
4,61,309.05
4,62,337.57
4,63,308.14
4,64,344.05
4,65,314.82
4,66,338.45
4,67,308.80
4,68,353.21
4,69,322.85
4,70,328.23
4,71,342.32
4,72,309.51
4,73,307.59
4,74,326.07
4,75,331.36
4,76,326.15
4,77,309.00
4,78,317.34
4,79,309.67
4,80,331.70
4,81,329.36
4,82,322.28
4,83,325.77
4,84,312.48
4,85,340.63
4,86,342.23
4,87,327.17
4,88,330.47
4,89,312.84
4,90,323.45
4,91,333.01
4,92,347.90
4,93,323.29
4,94,343.98
4,95,320.67
4,96,353.18
4,97,327.60
4,98,319.43
4,99,321.35
4,100,316.21
8,1,322.90
8,2,312.44
8,3,327.02
8,4,313.86
8,5,324.30
8,6,321.42
8,7,322.87
8,8,310.03
8,9,319.32
8,10,324.64
8,11,330.95
8,12,321.16
8,13,323.48
8,14,310.51
8,15,323.00
8,16,328.80
8,17,330.57
8,18,317.58
8,19,328.09
8,20,334.19
8,21,318.89
8,22,393.41
8,23,562.15
8,24,327.05
8,25,310.81
8,26,321.15
8,27,315.59
8,28,328.32
8,29,317.86
8,30,317.17
8,31,344.61
8,32,318.11
8,33,315.09
8,34,332.56
8,35,344.58
8,36,320.54
8,37,316.43
8,38,328.33
8,39,322.70
8,40,325.10
8,41,332.92
8,42,310.19
8,43,316.32
8,44,345.20
8,45,312.52
8,46,373.06
8,47,329.10
8,48,311.34
8,49,338.59
8,50,328.02
8,51,310.65
8,52,316.98
8,53,325.42
8,54,333.43
8,55,328.16
8,56,309.32
8,57,327.07
8,58,319.24
8,59,310.46
8,60,319.32
8,61,354.42
8,62,615.09
8,63,320.35
8,64,318.24
8,65,329.13
8,66,333.35
8,67,332.05
8,68,316.20
8,69,322.25
8,70,326.68
8,71,326.78
8,72,313.62
8,73,326.67
8,74,339.06
8,75,312.08
8,76,323.92
8,77,351.85
8,78,315.00
8,79,339.94
8,80,318.48
8,81,326.25
8,82,319.98
8,83,321.10
8,84,317.57
8,85,335.82
8,86,319.77
8,87,323.01
8,88,312.38
8,89,328.56
8,90,328.70
8,91,324.79
8,92,313.22
8,93,325.76
8,94,311.49
8,95,318.64
8,96,328.30
8,97,322.54
8,98,388.47
8,99,333.46
8,100,323.24
12,1,317.61
12,2,336.30
12,3,339.60
12,4,327.54
12,5,393.94
12,6,317.66
12,7,335.61
12,8,327.81
12,9,336.63
12,10,333.69
12,11,337.78
12,12,315.77
12,13,326.48
12,14,326.86
12,15,322.97
12,16,328.22
12,17,344.16
12,18,339.08
12,19,346.40
12,20,327.28
12,21,346.94
12,22,318.82
12,23,345.26
12,24,327.81
12,25,329.77
12,26,316.45
12,27,320.20
12,28,336.00
12,29,324.55
12,30,445.48
12,31,345.43
12,32,331.42
12,33,324.19
12,34,331.95
12,35,349.06
12,36,330.46
12,37,321.41
12,38,327.49
12,39,332.33
12,40,334.62
12,41,326.08
12,42,333.84
12,43,318.92
12,44,335.68
12,45,314.74
12,46,334.81
12,47,313.97
12,48,330.36
12,49,330.86
12,50,332.46
12,51,332.17
12,52,334.34
12,53,330.83
12,54,395.78
12,55,339.26
12,56,323.53
12,57,348.39
12,58,316.68
12,59,318.37
12,60,328.79
12,61,386.84
12,62,331.38
12,63,428.14
12,64,346.82
12,65,333.41
12,66,324.10
12,67,338.23
12,68,338.47
12,69,329.12
12,71,369.11
12,72,409.17
12,73,332.87
12,74,344.50
12,75,326.54
12,76,340.83
12,77,325.91
12,78,342.01
12,79,324.98
12,80,319.01
12,81,420.15
12,82,345.87
12,83,330.95
12,84,338.86
12,85,338.18
12,86,342.90
12,87,344.11
12,88,320.46
12,89,329.09
12,90,340.02
12,91,335.16
12,92,413.93
12,93,317.67
12,94,330.12
12,95,320.29
12,96,334.94
12,97,358.94
12,98,332.51
12,99,318.09
12,100,340.32
16,1,376.29
16,2,353.87
16,3,341.86
16,4,353.94
16,5,327.02
16,6,327.12
16,7,396.82
16,8,385.64
16,9,944.13
16,10,339.79
16,11,345.80
16,12,329.66
16,13,343.55
16,14,717.56
16,15,322.29
16,16,328.56
16,17,363.14
16,18,331.14
16,19,363.63
16,20,365.81
16,21,364.98
16,22,373.76
16,23,334.29
16,24,361.81
16,25,365.23
16,26,342.22
16,27,447.90
16,30,430.58
16,31,360.98
16,32,474.55
16,33,340.71
16,34,403.45
16,35,333.48
16,36,322.79
16,37,345.12
16,38,337.10
16,39,321.47
16,40,356.04
16,41,330.00
16,42,324.74
16,43,350.55
16,44,437.19
16,45,337.29
16,46,346.40
16,47,340.07
16,48,347.37
16,49,334.11
16,50,333.09
16,51,707.38
16,52,368.88
16,53,341.05
16,54,330.82
16,55,337.16
16,56,565.89
16,57,327.66
16,58,338.54
16,59,342.59
16,60,343.34
16,61,880.32
16,62,505.70
16,63,361.72
16,64,341.21
16,65,329.61
16,66,363.38
16,67,339.77
16,68,595.98
16,69,349.36
16,70,337.06
16,72,441.37
16,73,782.79
16,74,406.91
16,75,530.06
16,76,377.55
16,77,405.19
16,78,389.90
16,79,321.64
16,80,325.35
16,81,347.33
16,82,392.03
16,83,374.80
16,84,358.07
16,85,359.91
16,86,354.98
16,87,354.22
16,88,402.39
16,89,357.05
16,90,339.95
16,91,344.03
16,94,444.57
16,95,1146.14
16,96,350.68
16,97,351.28
16,98,330.89
16,99,343.41
16,100,347.32
20,1,390.62
20,3,913.28
20,4,378.40
20,5,722.62
20,11,395.80
20,12,375.74
20,14,504.11
20,15,371.65
20,22,484.24
20,24,631.33
20,26,349.32
20,27,454.67
20,28,443.49
20,29,446.37
20,30,465.39
20,31,383.10
20,32,353.58
20,37,384.79
20,38,375.80
20,39,342.23
20,40,375.96
20,41,402.49
20,42,382.19
20,44,348.82
20,46,690.38
20,47,447.65
20,48,415.07
20,54,387.32
20,62,372.96
20,63,338.96
20,64,405.69
20,65,384.07
20,66,342.78
20,67,549.15
20,68,491.39
20,69,343.18
20,72,474.44
20,73,366.73
20,74,477.77
20,75,396.19
20,76,467.39
20,77,330.26
20,78,431.84
20,79,366.94
20,80,352.55
20,81,350.43
20,82,457.26
20,83,492.35
20,84,394.99
20,85,364.40
20,86,361.69
20,87,336.06
20,88,344.46
20,89,392.08
20,91,358.67
20,92,664.23
20,93,515.80
20,94,359.91
20,95,590.83
20,96,529.41
20,97,361.68
20,98,373.25
20,99,548.91
20,100,1006.53
24,2,399.07
24,4,626.53
24,5,386.20
24,6,508.98
24,7,437.63
24,8,358.36
24,10,692.53
24,14,381.39
24,15,465.11
24,16,887.64
24,17,448.50
24,18,994.89
24,19,705.90
24,20,445.04
24,21,428.99
24,22,1052.12
24,25,399.09
24,26,437.42
24,30,1022.61
24,42,444.37
24,45,876.21
24,46,411.63
24,47,375.59
24,48,463.38
24,49,401.55
24,50,376.50
24,51,472.78
24,52,360.89
24,53,493.55
24,54,437.55
24,55,545.41
24,57,553.79
24,58,361.69
24,59,549.85
24,61,444.65
24,62,724.89
24,63,446.97
24,64,736.45
24,65,859.80
24,67,434.72
24,68,477.29
24,69,444.79
24,70,402.88
24,72,439.74
24,73,427.34
24,76,426.98
24,77,426.84
24,78,399.71
24,79,572.59
24,80,374.81
24,81,548.43
24,82,376.04
24,83,451.14
24,84,592.13
24,85,357.07
24,86,388.12
24,87,470.53
24,88,410.15
24,89,374.82
24,90,409.87
24,91,428.64
