NodeCount,Iteration,ConsensusLatency_ms
4,1,47.55
4,2,41.79
4,3,47.82
4,4,47.45
4,5,277.98
4,6,38.21
4,7,39.20
4,8,39.17
4,9,39.37
4,10,45.74
4,11,42.68
4,12,46.73
4,13,47.54
4,14,38.66
4,15,43.85
4,16,43.01
4,17,45.20
4,18,38.63
4,19,42.08
4,20,37.71
4,21,38.57
4,22,45.16
4,23,41.44
4,24,43.09
4,25,80.19
4,26,45.48
4,27,40.53
4,28,42.06
4,29,40.86
4,30,43.16
4,31,44.73
4,32,40.92
4,33,47.31
4,34,47.34
4,35,46.93
4,36,48.54
4,37,44.13
4,38,42.75
4,39,42.46
4,40,43.00
4,41,47.31
4,42,43.63
4,43,43.44
4,44,40.48
4,45,44.31
4,46,47.16
4,47,46.41
4,48,38.98
4,49,47.14
4,50,45.51
4,51,39.84
4,52,40.96
4,53,43.38
4,54,47.29
4,55,39.61
4,56,41.25
4,57,43.00
4,58,43.43
4,59,49.04
4,60,45.18
4,61,45.09
4,62,45.16
4,63,47.54
4,64,39.90
4,65,44.24
4,66,49.00
4,67,45.71
4,68,38.31
4,69,49.17
4,70,42.69
4,71,46.62
4,72,43.82
4,73,42.92
4,74,38.48
4,75,43.06
4,76,44.22
4,77,44.66
4,78,46.19
4,79,46.38
4,80,48.59
4,81,43.77
4,82,45.34
4,83,39.34
4,84,40.87
4,85,39.02
4,86,43.75
4,87,38.61
4,88,38.78
4,89,46.71
4,90,48.00
4,91,46.52
4,92,43.22
4,93,47.38
4,94,46.01
4,95,45.96
4,96,45.61
4,97,40.47
4,98,46.91
4,99,38.43
4,100,40.68
8,1,45.73
8,2,44.16
8,3,39.32
8,4,39.19
8,5,48.24
8,6,45.24
8,7,39.25
8,8,39.23
8,9,40.05
8,10,42.52
8,11,37.92
8,12,40.58
8,13,43.77
8,14,46.35
8,15,46.53
8,16,42.57
8,17,39.48
8,18,45.96
8,19,46.09
8,20,46.90
8,21,47.35
8,22,43.49
8,23,40.15
8,24,45.98
8,25,44.23
8,26,46.46
8,27,44.34
8,28,40.98
8,29,44.17
8,30,42.12
8,31,39.70
8,32,39.49
8,33,38.56
8,34,47.73
8,35,39.10
8,36,39.28
8,37,44.01
8,38,40.91
8,39,48.48
8,40,40.33
8,41,40.84
8,42,45.73
8,43,41.60
8,44,42.62
8,45,42.12
8,46,39.53
8,47,46.59
8,48,39.71
8,49,43.27
8,50,37.86
8,51,39.80
8,52,45.94
8,53,43.28
8,54,40.18
8,55,38.73
8,56,46.94
8,57,40.68
8,58,43.74
8,59,47.25
8,60,46.44
8,61,46.43
8,62,40.90
8,63,39.69
8,64,46.68
8,65,38.86
8,66,47.58
8,67,44.10
8,68,41.86
8,69,40.54
8,70,40.93
8,71,44.19
8,72,49.12
8,73,40.07
8,74,48.43
8,75,42.06
8,76,44.00
8,77,45.65
8,78,41.56
8,79,46.85
8,80,46.39
8,81,47.72
8,82,43.92
8,83,41.64
8,84,40.27
8,85,48.54
8,86,42.32
8,87,39.30
8,88,38.64
8,89,39.65
8,90,45.48
8,91,39.09
8,92,46.50
8,93,43.42
8,94,36.85
8,95,39.43
8,96,41.70
8,97,45.35
8,98,45.44
8,99,45.35
8,100,45.42
12,1,41.84
12,2,40.45
12,3,40.73
12,4,40.93
12,5,46.14
12,6,46.69
12,7,37.07
12,8,42.04
12,9,44.32
12,10,44.80
12,11,7.98
12,12,37.82
12,13,42.69
12,14,43.22
12,15,38.76
12,16,41.23
12,17,39.81
12,18,39.38
12,19,46.49
12,20,48.85
12,21,38.82
12,22,40.64
12,23,40.11
12,24,38.51
12,25,44.30
12,26,41.70
12,27,43.04
12,28,38.20
12,29,40.02
12,30,44.92
12,31,42.36
12,32,42.69
12,33,37.85
12,34,46.46
12,35,43.22
12,36,38.96
12,37,45.60
12,38,44.03
12,39,40.34
12,40,42.55
12,41,39.86
12,42,45.66
12,43,40.16
12,44,45.83
12,45,38.49
12,46,43.36
12,47,43.49
12,48,41.53
12,49,45.87
12,50,48.08
12,51,42.72
12,52,38.96
12,53,45.43
12,54,47.86
12,55,37.73
12,56,40.09
12,57,47.09
12,58,45.86
12,59,41.93
12,60,47.62
12,61,37.38
12,62,42.49
12,63,42.77
12,64,41.49
12,65,39.07
12,66,39.24
12,67,43.30
12,68,40.05
12,69,42.81
12,70,40.31
12,71,38.25
12,72,46.36
12,73,39.84
12,74,38.36
12,75,49.34
12,76,38.86
12,77,16.47
12,78,42.00
12,79,43.43
12,80,36.71
12,81,45.31
12,82,41.19
12,83,46.83
12,84,43.79
12,85,39.46
12,86,42.01
12,87,43.87
12,88,39.28
12,89,44.54
12,90,39.62
12,91,47.99
12,92,47.17
12,93,46.95
12,94,58.79
12,95,38.66
12,96,42.56
12,97,44.06
12,98,41.79
12,99,40.42
12,100,39.82
16,1,43.54
16,2,44.12
16,3,38.61
16,4,40.43
16,5,44.50
16,6,44.77
16,7,44.41
16,8,43.21
16,9,43.95
16,10,40.49
16,11,39.14
16,12,43.05
16,13,45.97
16,14,38.80
16,15,45.63
16,16,44.63
16,17,42.86
16,18,42.07
16,19,47.96
16,20,46.38
16,21,45.21
16,22,45.93
16,23,37.59
16,24,45.38
16,25,48.29
16,26,44.92
16,27,42.78
16,28,40.73
16,29,45.59
16,30,44.57
16,31,44.46
16,32,44.59
16,33,38.61
16,34,45.44
16,35,47.61
16,36,40.85
16,37,39.08
16,38,45.15
16,39,41.64
16,40,44.51
16,41,40.57
16,42,41.56
16,43,43.70
16,44,45.34
16,45,46.21
16,46,44.09
16,47,43.10
16,48,42.56
16,49,41.44
16,50,44.61
16,51,6.98
16,52,56.85
16,53,40.33
16,54,40.19
16,55,39.45
16,56,36.99
16,57,44.53
16,58,37.82
16,59,48.18
16,60,39.38
16,61,40.24
16,62,43.28
16,63,38.38
16,64,44.93
16,65,41.05
16,66,38.54
16,67,37.98
16,68,43.72
16,69,44.70
16,70,42.51
16,71,45.53
16,72,46.28
16,73,37.73
16,74,36.26
16,75,37.32
16,76,38.89
16,77,39.00
16,78,40.55
16,79,47.94
16,80,40.83
16,81,36.87
16,82,47.64
16,83,42.41
16,84,48.65
16,85,44.39
16,86,48.22
16,87,40.08
16,88,47.03
16,89,48.33
16,90,47.12
16,91,45.93
16,92,43.45
16,93,37.60
16,94,47.95
16,95,42.81
16,96,36.68
16,97,47.75
16,98,44.03
16,99,44.21
16,100,40.45
20,1,45.71
20,2,40.58
20,3,41.75
20,4,45.34
20,5,41.01
20,6,47.14
20,7,44.68
20,8,44.96
20,9,38.68
20,10,44.97
20,11,43.53
20,12,38.79
20,13,46.62
20,14,51.01
20,15,38.75
20,16,42.71
20,17,39.30
20,18,36.38
20,19,42.96
20,20,39.41
20,21,39.15
20,22,44.69
20,23,42.56
20,24,49.14
20,25,46.59
20,26,42.90
20,27,42.58
20,28,40.27
20,29,41.93
20,30,47.84
20,31,38.25
20,32,45.42
20,33,42.29
20,34,37.64
20,35,39.90
20,36,38.69
20,37,48.16
20,38,45.90
20,39,40.74
20,40,43.45
20,41,39.73
20,42,45.83
20,43,40.95
20,44,47.63
20,45,48.09
20,46,72.37
20,47,47.31
20,48,42.27
20,49,38.41
20,50,40.46
20,51,47.57
20,52,42.32
20,53,40.05
20,54,50.06
20,55,38.25
20,56,37.99
20,57,38.97
20,58,46.28
20,59,42.19
20,60,47.70
20,61,38.94
20,62,42.70
20,63,43.54
20,64,40.59
20,65,40.92
20,66,38.11
20,67,39.16
20,68,43.28
20,69,42.72
20,70,37.41
20,71,45.02
20,72,42.92
20,73,43.69
20,74,45.37
20,75,45.02
20,76,40.57
20,77,48.26
20,78,47.10
20,79,38.06
20,80,43.32
20,81,48.21
20,82,43.25
20,83,43.80
20,84,44.30
20,85,37.27
20,86,44.06
20,87,43.61
20,88,42.25
20,89,47.93
20,90,43.19
20,91,42.93
20,92,46.55
20,93,45.92
20,94,38.24
20,95,48.46
20,96,40.19
20,97,48.04
20,98,43.32
20,99,39.92
20,100,47.38
24,1,39.79
24,2,46.83
24,3,43.12
24,4,43.67
24,5,48.10
24,6,42.93
24,7,45.82
24,8,45.87
24,9,38.91
24,10,38.40
24,11,38.90
24,12,43.36
24,13,42.29
24,14,43.72
24,15,47.57
24,16,37.98
24,17,41.00
24,18,45.60
24,19,42.09
24,20,40.48
24,21,47.09
24,22,47.11
24,23,43.89
24,24,46.25
24,25,44.64
24,26,46.21
24,27,45.41
24,28,47.22
24,29,29.21
24,30,43.56
24,31,42.96
24,32,43.05
24,33,48.38
24,34,48.39
24,35,43.29
24,36,46.50
24,37,47.21
24,38,43.88
24,39,40.84
24,40,39.26
24,41,40.25
24,42,48.27
24,43,39.13
24,44,41.60
24,45,46.74
24,46,38.29
24,47,44.88
24,48,48.59
24,49,44.89
24,50,44.38
24,51,43.79
24,52,38.62
24,53,41.97
24,54,41.30
24,55,43.15
24,56,37.45
24,57,40.52
24,58,42.34
24,59,41.79
24,60,41.61
24,61,47.54
24,62,39.18
24,63,41.48
24,64,40.67
24,65,39.96
24,66,44.98
24,67,38.83
24,68,42.16
24,69,43.18
24,70,47.76
24,71,44.61
24,72,47.07
24,73,41.67
24,74,39.79
24,75,41.81
24,76,46.01
24,77,45.54
24,78,48.11
24,79,39.01
24,80,40.22
24,81,38.70
24,82,43.02
24,83,43.46
24,84,41.33
24,85,43.07
24,86,42.06
24,87,44.32
24,88,39.74
24,89,45.94
24,90,39.85
24,91,41.09
24,92,45.26
24,93,41.47
24,94,38.79
24,95,44.33
24,96,43.79
24,97,41.61
24,98,47.46
24,99,41.09
24,100,45.09
