NodeCount,Iteration,ConsensusLatency_ms
4,1,42.44
4,2,43.62
4,3,44.58
4,4,42.10
4,5,44.48
4,6,144.08
4,7,36.06
4,8,49.56
4,9,42.40
4,10,49.45
4,11,43.50
4,12,46.38
4,13,42.35
4,14,47.46
4,15,46.08
4,16,40.95
4,17,49.94
4,18,49.93
4,19,43.70
4,20,41.04
4,21,47.76
4,22,40.40
4,23,40.59
4,24,49.26
4,25,48.20
4,26,41.44
4,27,41.34
4,28,49.36
4,29,48.57
4,30,39.41
4,31,41.23
4,32,45.19
4,33,39.57
4,34,41.01
4,35,45.37
4,36,40.39
4,37,48.75
4,38,48.67
4,39,45.08
4,40,48.52
4,41,41.67
4,42,44.34
4,43,48.70
4,44,49.90
4,45,50.06
4,46,43.30
4,47,46.11
4,48,50.10
4,49,45.61
4,50,48.83
4,51,47.05
4,52,43.31
4,53,41.97
4,54,49.05
4,55,47.54
4,56,45.67
4,57,40.29
4,58,45.23
4,59,47.66
4,60,40.52
4,61,40.24
4,62,49.89
4,63,46.67
4,64,43.41
4,65,48.44
4,66,44.22
4,67,42.25
4,68,46.91
4,69,40.52
4,70,40.42
4,71,39.93
4,72,44.73
4,73,47.89
4,74,49.72
4,75,50.80
4,76,44.21
4,77,49.36
4,78,39.81
4,79,49.94
4,80,40.97
4,81,45.53
4,82,43.44
4,83,40.41
4,84,39.44
4,85,49.30
4,86,47.00
4,87,44.18
4,88,49.29
4,89,45.12
4,90,46.34
4,91,40.35
4,92,49.85
4,93,42.76
4,94,40.82
4,95,46.23
4,96,43.98
4,97,48.51
4,98,42.48
4,99,39.63
4,100,40.41
8,1,50.28
8,2,43.19
8,3,40.00
8,4,42.19
8,5,42.90
8,6,41.09
8,7,48.11
8,8,43.46
8,9,41.83
8,10,43.46
8,11,40.48
8,12,45.58
8,13,45.35
8,14,44.19
8,15,50.00
8,16,47.38
8,17,44.13
8,18,46.61
8,19,43.40
8,20,40.03
8,21,42.68
8,22,45.44
8,23,40.26
8,24,42.43
8,25,40.57
8,26,40.76
8,27,41.48
8,28,47.77
8,29,42.29
8,30,40.44
8,31,41.20
8,32,46.27
8,33,39.79
8,34,45.28
8,35,42.40
8,36,49.60
8,37,46.14
8,38,42.99
8,39,40.74
8,40,46.36
8,41,43.64
8,42,42.77
8,43,48.80
8,44,44.98
8,45,41.68
8,46,40.05
8,47,39.87
8,48,39.74
8,49,40.33
8,50,45.48
8,51,43.22
8,52,43.76
8,53,48.85
8,54,47.71
8,55,45.84
8,56,45.71
8,57,39.85
8,58,41.23
8,59,49.05
8,60,45.56
8,61,49.02
8,62,43.32
8,63,49.99
8,64,43.00
8,65,40.08
8,66,48.74
8,67,49.05
8,68,44.53
8,69,46.25
8,70,41.36
8,71,45.18
8,72,43.96
8,73,45.32
8,74,49.31
8,75,42.49
8,76,44.99
8,77,42.65
8,78,42.53
8,79,45.05
8,80,44.45
8,81,45.79
8,82,42.40
8,83,49.28
8,84,48.13
8,85,39.78
8,86,46.84
8,87,48.93
8,88,42.04
8,89,45.74
8,90,46.09
8,91,42.36
8,92,46.13
8,93,47.04
8,94,48.46
8,95,47.69
8,96,39.16
8,97,48.19
8,98,39.31
8,99,46.86
8,100,45.81
12,1,42.12
12,2,45.45
12,3,46.33
12,4,43.25
12,5,47.88
12,6,40.79
12,7,48.38
12,8,42.83
12,9,49.69
12,10,43.99
12,11,49.82
12,12,44.03
12,13,39.33
12,14,46.37
12,15,48.24
12,16,44.89
12,17,41.25
12,18,45.27
12,19,46.42
12,20,42.25
12,21,43.41
12,22,48.42
12,23,49.37
12,24,46.03
12,25,49.06
12,26,43.09
12,27,45.07
12,28,42.02
12,29,42.88
12,30,46.18
12,31,47.24
12,32,44.23
12,33,41.72
12,34,46.39
12,35,46.99
12,36,49.80
12,37,39.87
12,38,43.75
12,39,40.54
12,40,43.15
12,41,48.42
12,42,48.35
12,43,49.97
12,44,44.27
12,45,43.87
12,46,47.26
12,47,46.00
12,48,44.19
12,49,34.46
12,50,41.09
12,51,39.92
12,52,43.31
12,53,44.76
12,54,49.55
12,55,45.64
12,56,48.70
12,57,46.14
12,58,40.55
12,59,42.19
12,60,43.88
12,61,47.74
12,62,42.55
12,63,44.16
12,64,46.70
12,65,45.67
12,66,46.69
12,67,41.46
12,68,47.42
12,69,43.89
12,70,48.78
12,71,41.82
12,72,39.26
12,73,44.21
12,74,49.11
12,75,47.92
12,76,48.65
12,77,39.06
12,78,50.08
12,79,41.65
12,80,40.46
12,81,48.65
12,82,43.47
12,83,45.42
12,84,42.76
12,85,49.76
12,86,46.24
12,87,37.41
12,88,45.67
12,89,46.74
12,90,39.03
12,91,50.15
12,92,48.69
12,93,49.75
12,94,46.74
12,95,48.37
12,96,41.19
12,97,41.27
12,98,41.15
12,99,40.99
12,100,49.14
16,1,49.57
16,2,46.67
16,3,50.04
16,4,47.19
16,5,41.81
16,6,47.67
16,7,43.33
16,8,38.73
16,9,44.64
16,10,47.67
16,11,41.37
16,12,40.33
16,13,44.55
16,14,50.28
16,15,39.41
16,16,41.63
16,17,46.59
16,18,39.59
16,19,40.94
16,20,45.63
16,21,47.68
16,22,48.18
16,23,40.88
16,24,41.94
16,25,47.16
16,26,46.36
16,27,49.77
16,28,39.87
16,29,38.53
16,30,41.52
16,31,39.84
16,32,40.22
16,33,41.22
16,34,49.55
16,35,45.50
16,36,48.32
16,37,47.42
16,38,45.18
16,39,47.35
16,40,49.80
16,41,46.75
16,42,46.30
16,43,39.78
16,44,49.77
16,45,43.52
16,46,38.93
16,47,51.57
16,48,59.21
16,49,42.10
16,50,48.39
16,51,41.57
16,52,44.67
16,53,43.83
16,54,39.24
16,55,46.47
16,56,45.61
16,57,42.76
16,58,40.18
16,59,50.03
16,60,40.56
16,61,48.05
16,62,41.57
16,63,44.46
16,64,41.00
16,65,45.83
16,66,44.09
16,67,43.47
16,68,47.35
16,69,48.61
16,70,40.03
16,71,50.69
16,72,41.22
16,73,43.60
16,74,41.80
16,75,50.62
16,76,40.20
16,77,49.34
16,78,44.15
16,79,45.65
16,80,41.19
16,81,48.71
16,82,42.63
16,83,41.82
16,84,38.86
16,85,49.17
16,86,47.33
16,87,43.78
16,88,40.07
16,89,47.11
16,90,50.26
16,91,42.52
16,92,49.31
16,93,46.00
16,94,39.64
16,95,43.34
16,96,49.37
16,97,47.53
16,98,46.85
16,99,41.03
16,100,39.53
20,1,41.50
20,2,43.80
20,3,43.91
20,4,47.38
20,5,40.11
20,6,49.30
20,7,45.65
20,8,48.69
20,9,43.17
20,10,45.24
20,11,45.20
20,12,50.33
20,13,44.40
20,14,45.77
20,15,49.44
20,16,41.24
20,17,42.80
20,18,44.80
20,19,48.63
20,20,47.39
20,21,42.91
20,22,47.49
20,23,48.64
20,24,40.71
20,25,50.09
20,26,49.43
20,27,44.14
20,28,44.80
20,29,39.52
20,30,48.63
20,31,39.05
20,32,40.15
20,33,43.00
20,34,43.86
20,35,49.84
20,36,43.29
20,37,49.16
20,38,42.29
20,39,47.94
20,40,49.34
20,41,67.18
20,42,211.44
20,43,70.97
20,44,60.52
20,45,43.24
20,46,47.46
20,47,47.91
20,48,43.23
20,49,46.67
20,50,40.96
20,51,49.56
20,52,47.29
20,53,40.74
20,54,43.50
20,55,43.03
20,56,45.13
20,57,42.72
20,58,45.73
20,59,47.35
20,60,44.64
20,61,40.22
20,62,47.42
20,63,41.62
20,64,41.18
20,65,49.89
20,66,43.24
20,67,49.77
20,68,48.68
20,69,39.81
20,70,47.19
20,71,43.65
20,72,47.61
20,73,48.00
20,74,44.58
20,75,41.90
20,76,52.69
20,77,42.29
20,78,39.86
20,79,47.19
20,80,47.83
20,81,44.05
20,82,45.55
20,83,41.41
20,84,46.12
20,85,44.32
20,86,44.69
20,87,48.54
20,88,40.31
20,89,44.65
20,90,40.85
20,91,48.48
20,92,45.80
20,93,48.06
20,94,49.20
20,95,48.07
20,96,43.27
20,97,43.01
20,98,41.26
20,99,48.84
20,100,46.88
24,1,45.41
24,2,43.40
24,3,48.64
24,4,49.16
24,5,41.44
24,6,49.67
24,7,40.33
24,8,43.42
24,9,40.98
24,10,43.89
24,11,49.50
24,12,44.77
24,13,47.33
24,14,40.09
24,15,47.17
24,16,47.96
24,17,50.28
24,18,43.24
24,19,41.29
24,20,48.68
24,21,39.92
24,22,49.61
24,23,48.02
24,24,41.11
24,25,46.70
24,26,40.25
24,27,40.35
24,28,48.03
24,29,44.84
24,30,41.71
24,31,47.07
24,32,49.04
24,33,50.09
24,34,49.75
24,35,48.10
24,36,45.40
24,37,40.64
24,38,46.70
24,39,44.55
24,40,41.95
24,41,39.66
24,42,43.69
24,43,43.32
24,44,45.52
24,45,40.18
24,46,39.93
24,47,40.15
24,48,47.65
24,49,41.57
24,50,48.56
24,51,45.15
24,52,47.42
24,53,47.04
24,54,49.40
24,55,42.39
24,56,49.19
24,57,44.48
24,58,42.98
24,59,50.69
24,60,39.99
24,61,48.58
24,62,27.32
24,63,109.97
24,64,45.76
24,65,40.58
24,66,42.06
24,67,40.39
24,68,41.44
24,69,39.98
24,70,39.60
24,71,49.40
24,72,49.45
24,73,47.41
24,74,42.05
24,75,49.55
24,76,50.85
24,77,43.42
24,78,44.20
24,79,41.32
24,80,49.15
24,81,46.36
24,82,48.94
24,83,49.29
24,84,45.51
24,85,48.50
24,86,45.64
24,87,47.21
24,88,40.83
24,89,49.67
24,90,44.07
24,91,45.30
24,92,29.96
24,93,42.30
24,94,48.61
24,95,47.23
24,96,49.64
24,97,43.88
24,98,40.20
24,99,43.83
24,100,41.25
