NodeCount,Iteration,ElectionLatency_ms
4,1,342.76
4,2,333.48
4,3,311.85
4,4,330.24
4,5,331.53
4,6,320.23
4,7,308.14
4,8,319.82
4,9,342.16
4,10,334.20
4,11,311.50
4,12,363.46
4,13,398.78
4,14,322.36
4,15,310.70
4,16,330.52
4,17,321.38
4,18,320.37
4,19,309.04
4,20,338.27
8,1,317.34
8,2,313.96
8,3,315.57
8,4,317.06
8,5,327.72
8,6,316.99
8,7,343.05
8,8,323.82
8,9,325.57
8,10,313.37
8,11,316.13
8,12,321.52
8,13,349.21
8,14,344.82
8,15,314.45
8,16,314.41
8,17,314.42
8,18,311.26
8,19,325.56
8,20,328.28
12,1,359.09
12,2,346.79
12,3,329.94
12,4,401.66
12,5,324.36
12,6,329.28
12,7,341.55
12,8,321.97
12,9,312.72
12,10,321.43
12,11,315.64
12,12,314.32
12,13,315.28
12,14,322.01
12,15,334.97
12,16,333.76
12,17,332.80
12,18,331.44
12,19,338.58
12,20,340.05
16,1,323.80
16,2,325.53
16,3,373.58
16,4,344.19
16,5,319.02
16,6,322.07
16,7,325.93
16,8,338.93
16,9,341.08
16,10,329.38
16,11,346.71
16,12,409.71
16,13,360.93
16,14,331.46
16,15,345.30
16,16,350.55
16,17,343.80
16,18,448.35
16,19,342.64
16,20,357.67
20,1,358.99
20,2,460.49
20,3,372.51
20,4,325.78
20,5,361.25
20,6,356.40
20,7,393.17
20,8,364.85
20,9,418.42
20,10,327.88
20,11,389.60
20,12,390.81
20,13,453.55
20,14,438.83
20,15,479.71
20,16,350.64
20,17,447.26
20,18,381.61
20,19,370.26
20,20,498.35
24,1,490.75
24,2,578.97
24,3,401.07
24,4,402.73
24,5,341.03
24,6,411.49
24,7,387.25
24,8,419.39
24,9,970.48
24,11,378.51
24,12,364.03
24,14,404.22
24,15,549.33
24,16,359.58
24,18,602.25
24,19,586.88
24,20,395.07
